id,ka,V,CL
1,0.528634753241427,3.357535920542943,0.5702444498822931
2,0.6518424875759191,3.4616366475216633,1.1544892911500866
3,0.8153389229203395,3.5075148135240215,1.045087287462179
4,0.1776210996511777,3.4429811157617003,0.9994357142809601
5,0.408384284540817,3.308472883464015,0.8743203337872968
6,0.10722558989438563,3.6701485398341194,1.352156321677663
7,-0.28785871562798093,3.522469603088518,1.1480767421522158
8,0.29918581583013887,3.555457381806444,1.1692203915169808
9,1.7464890852503026,3.4513250891636362,1.064537394854776
10,-0.28290962287603,3.27620514708849,0.6543079010699562
11,1.1927236599283575,3.594235592624725,1.2891346466331572
12,-0.06557624624592116,3.249282595764836,0.8975691024992662
